"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta_phi[10]",21.3145381403813,19.1019484495694,0.551300235287689,4.72840281751351,17.0169738309321,33.0254680627694,66.5754531262902,1.06208496979317,37,0,0.999791666666667
"beta_phi[11]",0.649306644472887,0.331684431458301,0.141080583501412,0.394307764585022,0.587314492926936,0.890128637115955,1.33947687180526,2.25926592258297,5,0,0.999166666666667
"beta_phi[12]",29.4197210193311,22.354559779317,1.98675696351634,9.96441475402258,23.7456832625456,46.2698002183168,76.3006655037786,1.04963619504789,63,0,1
"beta_phi[13]",7.13800618351178,10.1726216097457,0.658074926870217,1.11343924785455,1.6372705409514,7.58156280684823,33.4546109510153,1.77939931936228,6,0,1
"beta_phi[14]",-0.0549347990470516,0.258302509041239,-0.479123530084467,-0.273646466812471,-0.0689993810895858,0.15528191529191,0.420365128037618,2.04096019816012,5,1,0.572916666666667
"beta_phi[15]",26.0654077454929,17.6768110240334,3.30482131048801,11.4562657242944,22.445193901276,37.5027718029793,65.6246793014741,1.01059569700809,232,0,1
"beta_phi[16]",19.2846432591328,17.2827632689324,1.68272165232859,5.64714450580673,13.7030761387043,27.6337422437558,64.0209680437888,1.35982216284703,10,0,1
"beta_phi[17]",-0.682628995644782,0.155041076411181,-0.969069974044485,-0.78454102348578,-0.691916642206182,-0.585207222246964,-0.367157660440853,1.03188581351284,93,0,0.999791666666667
"beta_phi[18]",23.0456362853247,19.9493694056124,1.13716881897395,4.51501411823163,18.5076841056445,37.0517018912487,69.7787588576785,1.10700609908016,24,0,1
"beta_phi[19]",0.689304466073827,0.306098316258203,0.144858560776056,0.483456449337057,0.667539639754951,0.867736398123169,1.37229865359431,1.14667335863282,23,0,0.995
"beta_phi[20]",27.5343722556619,18.3106883863513,4.51575541554761,13.1348619704727,23.540801932756,38.0727974525239,73.0068882060562,1.00080242943186,2063,0,1
"beta_phi[21]",16.0085320991022,17.6374059518548,0.0677414332403233,0.363294836710394,1.52683328344727,32.3017535571142,49.3805193063366,2.91438840599281,4,0,0.991041666666667
"beta_phi[22]",5.40091370971028,11.0662088708798,-0.0335303817894336,0.444123918476083,1.632423947662,2.42237745567937,44.4884108700407,1.62365389608273,8,1,0.967708333333333
"beta_phi[23]",12.4086720770222,16.7153452174698,-0.489257383477049,0.121592245378743,0.940102312408579,26.7820953618669,50.6843220110639,3.26821442171735,4,1,0.809583333333333
"beta_phi[24]",2.83915594664569,8.93523565051236,-1.35598871769617,-0.701732622004343,0.23313488358153,1.54132964489134,38.2923812180219,1.38900705607296,17,1,0.555
"beta_phi[25]",18.7679346375625,20.7989755542978,-1.18066105173032,0.606908364709537,12.806309363746,29.1057386988818,72.7379446908065,1.2930719230393,11,1,0.787916666666667
"beta_phi[26]",24.3834006665177,18.9849742174692,0.520298960394708,9.34851059173929,20.7593503237647,35.8491435116441,68.7013619755854,1.01097099538399,193,0,0.991458333333333
"beta_phi[27]",28.5920613871894,19.7289104937687,3.60210521411628,12.2527809517041,24.0143802508884,42.6819893429205,72.5819137575555,1.01516003013939,168,0,1
"beta_phi[28]",10.4629164337803,16.1716446959941,-0.802969259968392,-0.366222646569026,0.683770937022758,16.6257352222021,55.8319217022118,1.59296576078364,7,1,0.58375
"beta_phi[29]",15.8781126070453,20.9218024188653,-0.372762017575981,0.258170544656187,1.50403029051551,30.685998765447,67.6644266236272,1.45296739684603,8,1,0.878333333333333
"beta_phi[30]",4.96010563324457,15.2885748415518,-0.312931418756092,0.127420117964526,0.393069019731216,0.695865783086259,60.9483974495114,1.4898336542811,12,1,0.847291666666667
"beta_phi[31]",19.0247872102448,19.3350773310141,0.0810661302064889,2.30844398590643,13.4129185975566,30.0734798666564,67.2714332128027,1.57265533603507,7,0,0.98625
"beta_phi[32]",23.6681031683543,15.6141882600391,2.59126564804385,11.5126583400519,21.1278120818898,32.8375981196809,62.8699235469098,1.07499636012058,50,0,1
"beta_phi[33]",8.13607993660112,14.5535009764748,-2.72563130215537,-1.56917248393509,0.316971704984372,13.4792845663934,47.0339079277258,1.01843093270417,298,1,0.520208333333333
"mu_p",-0.313685974388727,0.17877229966559,-0.67163296643461,-0.427074307405918,-0.315447368268283,-0.19930752398239,0.0473451364434621,1.01572946708606,139,1,0.956041666666667
"beta_age",-2.23260447313723,0.253280637584899,-2.74334867527716,-2.39660670443473,-2.22693868749604,-2.06086289265694,-1.74568629881436,1.00330176717935,675,0,1
"sigma_p",0.888825862972239,0.150659180965012,0.642899753745253,0.779606966662963,0.871770377033178,0.980154547333702,1.22032611227048,1.04161347566219,54,0,1
"alpha_p[1]",0.578215463925868,0.444576419643683,-0.272723349576135,0.274451972123256,0.575223470234421,0.867449868896014,1.46464910283197,1.00170648365587,3265,1,0.907291666666667
"alpha_p[2]",0.174908321810381,0.301448710234468,-0.433606748513339,-0.0235454476521156,0.174889203170595,0.379317979263206,0.750912848769288,1.00492427383838,485,1,0.721458333333333
"alpha_p[3]",0.561840609934126,0.30454276575628,-0.0303760538118468,0.356303784176846,0.560010103535962,0.765972081825149,1.16403192525514,1.00404293167077,490,1,0.969375
"alpha_p[4]",0.838928496446184,0.312861140542228,0.224114339625298,0.628560378539835,0.837664714888208,1.04976766877978,1.45161283278105,1.04325301741011,51,0,0.996666666666667
"alpha_p[5]",1.45299870415155,0.30134970123753,0.868109466869973,1.24496320797575,1.45189231335723,1.64641392189233,2.05324046548868,1.01767301849292,118,0,1
"alpha_p[6]",0.551973872542028,0.251967529922713,0.0699657086000584,0.381131006466376,0.552567367640235,0.722285225820985,1.0334753792573,1.04518687641337,50,0,0.985
"alpha_p[7]",0.580913232433895,0.250930053706562,0.0923397916095881,0.413733257566196,0.580014763114735,0.740429243446384,1.09653925298484,1.03111819346334,69,0,0.99
"alpha_p[8]",0.38505166792413,0.26025484270169,-0.12451437614401,0.212447356360514,0.385111859213049,0.55742944129104,0.899965940764063,1.02287783271316,97,1,0.927291666666667
"alpha_p[9]",-1.71395756179694,0.328594777781173,-2.39481390884028,-1.92948253116755,-1.70484084537154,-1.48665925691815,-1.10179956109447,1.10484808741761,25,0,1
"alpha_p[10]",0.333696364571773,0.267133140641,-0.209229843495591,0.16069848456824,0.337500480075549,0.51049162109531,0.850753855811941,1.06065024385344,38,1,0.893958333333333
"alpha_p[11]",-0.676477171385416,0.253124146881414,-1.16622287518227,-0.844820037560416,-0.677675745438359,-0.503857538654829,-0.188282462924094,1.1183256683325,22,0,0.995833333333333
"alpha_p[12]",-0.160153764606946,0.229911054154409,-0.602120291494716,-0.314402986647581,-0.156718522804489,-0.00780942718055504,0.282647326598999,1.03172370919039,74,1,0.762291666666667
"alpha_p[13]",-0.181545539194377,0.270323876167442,-0.707615701649209,-0.364615554674405,-0.179570156407282,-7.29714300558848e-05,0.355113219395412,1.15094901140182,18,1,0.75
"alpha_p[14]",0.709861907453666,0.271729061710587,0.182802193055102,0.52303664650267,0.70327592709805,0.892628466511697,1.2599463162899,1.21432916923657,14,0,0.997291666666667
"alpha_p[15]",0.105550677864535,0.225827785419131,-0.325959298325143,-0.046362826951885,0.101876219717946,0.257090764445317,0.556914154203393,1.05914433006516,39,1,0.681875
"alpha_p[16]",-0.191958699595258,0.224579016938368,-0.623834350653664,-0.344194920870975,-0.196556261992391,-0.045150784391548,0.249410324318396,1.06322656740504,37,1,0.806666666666667
"alpha_p[17]",-0.0268445770194755,0.258357708281219,-0.541541708185748,-0.198351524335447,-0.0254952477416637,0.149886803540855,0.468374940308628,1.02329752835618,93,1,0.53625
